Angle,AA_3-12-2_Zn-DMF
21.9476900,.0005669
21.9681100,.0010605
21.9885200,.0010692
22.0089400,.0009484
22.0293600,.0010864
22.0497700,.0013214
22.0701900,.0010713
22.0906100,.0014033
22.1110200,.0013796
22.1314400,.0016793
22.1518600,.0020113
22.1722800,.0019552
22.1926900,.0017052
22.2131100,.0018108
22.2335300,.0014961
22.2539400,.0010197
22.2743600,.0009637
22.2947800,.0009077
22.3152000,.0008193
22.3356100,.0008603
22.3560300,.0010630
22.3764500,.0011040
22.3968700,.0008216
22.4172800,.0011859
22.4377000,.0012593
22.4581200,.0013973
22.4785300,.0018263
22.4989500,.0023201
22.5193700,.0019407
22.5397900,.0020787
22.5602000,.0018934
22.5806200,.0014170
22.6010400,.0012963
22.6214500,.0012727
22.6418700,.0016047
22.6622900,.0017751
22.6827100,.0021072
22.7031200,.0024069
22.7235400,.0028359
22.7439600,.0024566
22.7643700,.0024006
22.7847900,.0025063
22.8052100,.0023210
22.8256300,.0021034
22.8460400,.0022738
22.8664600,.0021208
22.8868800,.0022265
22.9073000,.0023969
22.9277100,.0021793
22.9481300,.0024467
22.9685500,.0031668
22.9889600,.0025934
23.0093800,.0025052
23.0298000,.0029666
23.0502100,.0025549
23.0706300,.0020140
23.0910500,.0024754
23.1114700,.0025811
23.1318800,.0019755
23.1523000,.0018225
23.1727200,.0019606
23.1931400,.0016137
23.2135500,.0016224
23.2339700,.0022455
23.2543900,.0025776
23.2748100,.0024570
23.2952200,.0027245
23.3156400,.0026039
23.3360600,.0021599
23.3564700,.0023304
23.3768900,.0022421
23.3973100,.0020568
23.4177200,.0018716
23.4381400,.0022360
23.4585600,.0021478
23.4789800,.0022212
23.4993900,.0022946
23.5198100,.0026268
23.5402300,.0024739
23.5606400,.0023856
23.5810600,.0023297
23.6014800,.0025648
23.6219000,.0023149
23.6423100,.0021943
23.6627300,.0019767
23.6831500,.0021148
23.7035700,.0019619
23.7239800,.0019060
23.7444000,.0020442
23.7648200,.0023116
23.7852300,.0021587
23.8056500,.0019088
23.8260700,.0018852
23.8464900,.0016030
23.8669000,.0014501
23.8873200,.0014912
23.9077400,.0015646
23.9281500,.0019291
23.9485700,.0019702
23.9689900,.0019467
23.9894000,.0018584
24.0098200,.0018672
24.0302400,.0019083
24.0506600,.0019818
24.0710700,.0020875
24.0914900,.0020640
24.1119100,.0021051
24.1323300,.0018875
24.1527400,.0017670
24.1731600,.0017434
24.1935800,.0016228
24.2139900,.0012436
24.2344100,.0012184
24.2548300,.0012241
24.2752500,.0013252
24.2956600,.0015218
24.3160800,.0017168
24.3365000,.0015561
24.3569100,.0018481
24.3773300,.0020431
24.3977500,.0017207
24.4181700,.0020774
